Idade,Vínculo,Sexo,Ano_ingresso,Curso_grad,Programa_pós,Nível,Departamento,Setor,Origem_vist,Frequencia,Campus_agradavel,Impacto,Participação,Particip_fora,Interesse,Conhecimento,Compromisso,Transformador,Segurança,Alt_seg_noite,Distância,Modal_atecampus,S_Ilum,S_ag,S_equ,S_vias,S_cal,S_acess,S_sinal,S_ciclovias,Aplicativo,C_Acol,C_pert,C_Sau,C_atendaluno,C_PAPFE,C_moradia,C_cre,C_gen,C_etn,C_aces,C_Rucas,C_alim,C_conv,C_esp,C_estudo,C_int,C_infacd,C_orgtrans,C_qveic,C_visit,C_funcio,C_santi,C_mobl,C_aPSaude,Interesse_ativ
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,CENA,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, na instituição religiosa",Extremamente,Muito,Extremamente,Muito,Inseguro(a),"Não, continuo me sentindo seguro(a)",70.0,Ônibus,Bom,Regular,Regular,Bom,Regular,Regular,Regular,0,Conheço,Regular,Regular,Ruim,,0,0,Bom,Péssimo,Péssimo,Bom,0,Ruim,Ruim,Regular,0,Regular,Regular,,Regular,Regular,Ruim,Ruim,Regular,Ruim,Pouco
De 36 a 45 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,CENA/Lab.,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,Não,Moderadamente,Moderadamente,Moderadamente,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",5.0,Moto,Regular,Regular,Regular,Bom,Bom,Bom,Bom,0,Não conheço,Bom,Bom,Bom,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Bom,0,Ruim,Regular,Regular,0,Bom,Bom,Bom,Bom,Bom,Bom,Regular,Regular,Bom,Bastante
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,PUSP-LQ/RU,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei",Não,Moderadamente,Moderadamente,Muito,Moderadamente,Muito seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",2.0,Carro,Ruim,Regular,Regular,Regular,Ruim,Ruim,Bom,0,"Conheço, mas nunca utilizei",Bom,Bom,Não sei opinar,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Não sei opinar,0,Não sei opinar,Não sei opinar,Não sei opinar,0,Ótimo,Não sei opinar,Ótimo,Ótimo,Não sei opinar,Ótimo,Bom,Não sei opinar,Ótimo,Pouco
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/LGN,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,Não,Moderadamente,Moderadamente,Moderadamente,Moderadamente,Seguro(a),,50.0,Carro,Bom,Ruim,Regular,Regular,Bom,Regular,Bom,0,"Conheço, mas nunca utilizei",Bom,Bom,Não sei opinar,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Bom,0,Péssimo,Péssimo,Não sei opinar,0,Bom,Bom,Bom,Bom,Não sei opinar,Péssimo,Péssimo,Péssimo,Ruim,Pouco
De 56 a 65 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/Lab.,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Não conheço,Não,Muito Pouco,Muito Pouco,Muito Pouco,Muito Pouco,Inseguro(a),,7.0,Carro,Péssimo,Ruim,Ruim,Ruim,Ruim,Não sei opinar,Péssimo,0,Não conheço,Bom,Bom,Bom,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Bom,0,,,Regular,0,Bom,Não sei opinar,Regular,Regular,Bom,Regular,Péssimo,Ruim,Péssimo,Nenhum
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/LGN,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,Não,Muito,Moderadamente,Muito,Pouco,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",1.0,Carro,Péssimo,Péssimo,Péssimo,Bom,Bom,Regular,Péssimo,0,Conheço,Ótimo,Regular,Ruim,,0,0,Não sei opinar,Regular,Regular,Regular,0,Péssimo,Regular,Não sei opinar,0,Ótimo,Ótimo,Regular,Regular,Ótimo,Regular,Péssimo,Ruim,Péssimo,Pouco
De 56 a 65 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/LCF,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, em outros lugares",Muito,Moderadamente,Muito,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",6.0,Carro,Péssimo,Ruim,Ruim,Regular,Regular,Regular,Péssimo,0,Não conheço,Ruim,Péssimo,Ruim,,0,0,Regular,Ruim,Péssimo,Ruim,0,Péssimo,Bom,Regular,0,Não sei opinar,,Ótimo,Bom,Bom,Péssimo,Ruim,Ruim,Péssimo,Pouco
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Não conheço,Não,Muito,Moderadamente,Pouco,Muito Pouco,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",12.0,Carro,Regular,Regular,Não sei opinar,Bom,Bom,Não sei opinar,Bom,0,Conheço,Bom,Bom,Ruim,,0,0,Bom,Regular,Regular,Não sei opinar,0,Regular,Bom,Não sei opinar,0,Bom,Não sei opinar,Bom,Bom,Não sei opinar,Ótimo,Não sei opinar,Bom,Bom,Bastante
De 56 a 65 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/ATFN,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei",Não,Extremamente,Muito,Extremamente,Extremamente,Muito seguro(a),"Não, continuo me sentindo seguro(a)",6.0,Carro,Regular,Não sei opinar,Não sei opinar,Regular,Regular,Não sei opinar,Bom,0,Não conheço,Ruim,Bom,Não sei opinar,,0,0,Ótimo,Não sei opinar,Não sei opinar,Não sei opinar,0,Bom,Bom,Bom,0,Bom,Não sei opinar,Bom,Não sei opinar,Não sei opinar,Bom,Ruim,Ótimo,Bom,Pouco
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/DvComun,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,"Sim, em outros lugares",Muito,Moderadamente,Muito,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",2.0,Carro,Regular,Regular,Regular,Bom,Bom,Ruim,Regular,0,Conheço,Ótimo,Ótimo,Não sei opinar,,0,0,Bom,Regular,Regular,Regular,0,Ruim,Regular,Regular,0,Bom,Ótimo,Regular,Bom,Ótimo,Bom,Ruim,Bom,Ótimo,Bastante
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/LEA,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei","Sim, no meu bairro/comunidade",Muito,Muito,Muito,Moderadamente,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",4.0,Carro,Ruim,Ruim,Ruim,Regular,Regular,Ruim,Regular,0,Conheço,Bom,Bom,Não sei opinar,,0,0,Não sei opinar,Regular,Regular,Regular,0,Ruim,Ruim,Não sei opinar,0,Bom,Ótimo,Bom,Péssimo,Ruim,Regular,Ótimo,Ruim,Ótimo,Bastante
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/Diretoria,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,"Conheço, mas não participei","Sim, no meu bairro/comunidade",Muito,Moderadamente,Muito,Muito,Seguro(a),"Não, continuo me sentindo seguro(a)",18.0,Carro,Bom,Regular,Ruim,Regular,Regular,Ruim,Regular,0,"Conheço, mas nunca utilizei",Ótimo,Ótimo,Péssimo,,0,0,Não sei opinar,Não sei opinar,Bom,Bom,0,Bom,Regular,Bom,0,Ótimo,Ótimo,Bom,Bom,Bom,Ruim,Péssimo,Péssimo,Regular,Pouco
De 36 a 45 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,PUSP-LQ/DA,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,Não,Moderadamente,Pouco,Muito,Muito,Inseguro(a),Não frequento o Campus no período noturno,3.0,Bicicleta,Ruim,Regular,Regular,Regular,Ruim,Ruim,Péssimo,0,"Conheço, mas nunca utilizei",Ruim,Ruim,Péssimo,,0,0,Não sei opinar,Ruim,Ruim,Ruim,0,Ruim,Péssimo,Ruim,0,Péssimo,Péssimo,Ruim,Regular,Bom,Ruim,Péssimo,Ruim,Péssimo,Nenhum
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/SVLICIT,0,Diariamente (de segunda a domingo),Sim,Não,"Conheço, mas não participei","Sim, no meu bairro/comunidade",Extremamente,Moderadamente,Muito,Muito,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",20.0,Carro,Regular,Regular,Regular,Bom,Regular,Regular,Regular,0,Não conheço,Ótimo,Ótimo,Bom,,0,0,Bom,Bom,Bom,Bom,0,Regular,Regular,Regular,0,Bom,Não sei opinar,Bom,Regular,Regular,Bom,Ruim,Regular,Regular,Pouco
De 36 a 45 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/Lab.,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,Não,Extremamente,Extremamente,Extremamente,Extremamente,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",10.0,Carro,Péssimo,Péssimo,Péssimo,Ruim,Péssimo,Péssimo,Péssimo,0,Conheço,Regular,Péssimo,Bom,,0,0,Não sei opinar,Regular,Regular,Regular,0,Péssimo,Péssimo,Não sei opinar,0,Bom,Ótimo,Regular,Bom,Péssimo,Ótimo,Regular,Regular,Ruim,Bastante
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, no meu bairro/comunidade",Moderadamente,Moderadamente,Muito,Moderadamente,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",3.0,Carro,Ruim,Ruim,Bom,Bom,Bom,Bom,Bom,0,"Conheço, mas nunca utilizei",Bom,Bom,Ruim,,0,0,Regular,Não sei opinar,Não sei opinar,Ruim,0,Ruim,Ruim,Ruim,0,Regular,Bom,Bom,Regular,Regular,Regular,Ruim,Péssimo,Regular,Bastante
De 56 a 65 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/Biblioteca ,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Não conheço,Não,Não sei opinar,Não sei opinar,Moderadamente,Não sei opinar,Seguro(a),Não frequento o Campus no período noturno,5.0,Carro,Ruim,Ruim,Não sei opinar,Péssimo,Péssimo,Não sei opinar,Péssimo,0,"Conheço, mas nunca utilizei",Bom,Bom,Não sei opinar,,0,0,Ruim,Não sei opinar,Não sei opinar,Não sei opinar,0,Não sei opinar,Não sei opinar,Não sei opinar,0,Ótimo,Não sei opinar,Ruim,Não sei opinar,Não sei opinar,Bom,Não sei opinar,Não sei opinar,Bom,Pouco
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/Biblioteca,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, no meu bairro/comunidade",Muito,Muito,Muito,Muito,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",5.0,Carro,Péssimo,Ruim,Ruim,Bom,Regular,Ruim,Ruim,0,"Conheço, mas nunca utilizei",Ótimo,Ótimo,Bom,,0,0,Bom,Ótimo,Ótimo,Ruim,0,Ruim,Ruim,Regular,0,Ótimo,Ótimo,Bom,Bom,Bom,0,Péssimo,Regular,Bom,Bastante
De 56 a 65 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,PUSP-LQ/DVATCOM,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, no meu bairro/comunidade",Muito,Muito,Extremamente,Muito,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",15.0,Carro,Bom,Ruim,Bom,Bom,Regular,Ruim,Regular,0,Conheço,Bom,Ótimo,Regular,,0,0,Regular,Ruim,Ruim,Ruim,0,Bom,Regular,Bom,0,Bom,Regular,Regular,Regular,Regular,Regular,Bom,Regular,Regular,Pouco
De 56 a 65 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/LEA,0,Apenas em dias úteis (de segunda a sexta),Sim,Sim,Conheço e já participei,"Sim, na instituição religiosa",Moderadamente,Moderadamente,Moderadamente,Moderadamente,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",20.0,A pé,Regular,Regular,Regular,Regular,Bom,Bom,Regular,0,Não conheço,Regular,Regular,Regular,,0,0,Ótimo,Não sei opinar,Regular,Regular,0,Regular,Regular,Regular,0,Regular,Bom,Bom,Bom,Ruim,Regular,Regular,Regular,Regular,Bastante
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/SVPG,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,Não,Moderadamente,Moderadamente,Moderadamente,Moderadamente,Seguro(a),Não frequento o Campus no período noturno,7.0,Moto,Regular,Regular,Ruim,Regular,Ruim,Regular,Regular,0,Não conheço,Ruim,Ruim,Ruim,,0,0,,Regular,Regular,Ruim,0,Ruim,Bom,Regular,0,Regular,Regular,Ruim,Regular,Regular,Bom,Ruim,Ruim,Regular,Bastante
De 26 a 35 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ,0,Diariamente (de segunda a domingo),Sim,Não,Não conheço,Não,Muito,Muito,Extremamente,Pouco,Inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",5.0,Carro,Ruim,Regular,Ruim,Bom,Péssimo,Péssimo,Ruim,0,"Conheço, mas nunca utilizei",Regular,Regular,Ruim,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Péssimo,0,Péssimo,Péssimo,Péssimo,0,Bom,Bom,Bom,Regular,Regular,Regular,Bom,Péssimo,Ótimo,Bastante
De 56 a 65 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,PUSP-LQ,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei","Sim, em outros lugares",Moderadamente,Moderadamente,Pouco,Pouco,Seguro(a),Não frequento o Campus no período noturno,5.0,Carro,Bom,Regular,Regular,Bom,Regular,Regular,Bom,0,"Conheço, mas nunca utilizei",Ótimo,Bom,Ótimo,,0,0,Bom,Bom,Bom,Bom,0,Regular,Regular,Bom,0,Ótimo,Bom,Bom,Bom,Bom,Ótimo,Ruim,Bom,Regular,Pouco
De 36 a 45 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/Diretoria,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei","Sim, no meu bairro/comunidade",Extremamente,Muito,Muito,Pouco,Seguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",5.0,Carro,Bom,Não sei opinar,Não sei opinar,Bom,Bom,Ruim,Ruim,0,Não conheço,Ótimo,Bom,Não sei opinar,,0,0,Não sei opinar,Ruim,Ruim,Bom,0,Bom,Bom,Não sei opinar,0,Bom,Ótimo,Regular,Não sei opinar,Não sei opinar,Não sei opinar,,Regular,Não sei opinar,Bastante
De 56 a 65 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/LGN,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, no meu bairro/comunidade",Extremamente,Muito,Extremamente,Extremamente,Inseguro(a),"Não, continuo me sentindo seguro(a)",3.0,Carro,Bom,Bom,Bom,Regular,Ruim,Ruim,Ruim,0,Conheço,Regular,Bom,Regular,,0,0,Não sei opinar,Regular,Regular,Regular,0,Regular,Bom,Não sei opinar,0,Bom,Não sei opinar,Ruim,Péssimo,Ruim,Ótimo,Ruim,Regular,Regular,Não sei responder
De 56 a 65 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/ATAC,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,Não,Muito,Muito,Muito,Muito,Inseguro(a),Não frequento o Campus no período noturno,8.0,Carro,Bom,Regular,Bom,Regular,Regular,Regular,Regular,0,Conheço,Ótimo,Bom,Bom,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Regular,0,Regular,Regular,Não sei opinar,0,Ótimo,Ótimo,Bom,Não sei opinar,Não sei opinar,Ótimo,Bom,Ótimo,Bom,Pouco
De 36 a 45 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ,0,Diariamente (de segunda a domingo),Sim,Em partes,Conheço e já participei,Não,Moderadamente,Pouco,Moderadamente,Moderadamente,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",10.0,Carro,Ruim,Péssimo,Péssimo,Bom,Ruim,Péssimo,Bom,0,Conheço,Péssimo,Péssimo,Ruim,,0,0,Ruim,Regular,Regular,Péssimo,0,Ruim,Ruim,Bom,0,Regular,Péssimo,Bom,Regular,Péssimo,Péssimo,Péssimo,Ruim,Ruim,Bastante
De 56 a 65 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,PUSP-LQ/Recepção Dire.,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Conheço e já participei,"Sim, no meu bairro/comunidade",Muito,Moderadamente,Moderadamente,Pouco,Muito seguro(a),"Não, continuo me sentindo seguro(a)",11.0,Moto,Bom,Bom,Bom,Ótimo,Ótimo,Ótimo,Bom,0,"Conheço, mas nunca utilizei",Bom,Ótimo,Bom,,0,0,Regular,Regular,Regular,Bom,0,Ótimo,Ótimo,Ótimo,0,Ótimo,Ótimo,Bom,Ruim,Ruim,Ótimo,Ruim,Bom,Ruim,Não sei responder
De 56 a 65 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/LCA,0,Diariamente (de segunda a domingo),Sim,Não,Conheço e já participei,Não,Pouco,Moderadamente,Pouco,Muito Pouco,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",2.0,Carro,Regular,Regular,Regular,Bom,Bom,Ótimo,Ótimo,0,Não conheço,Bom,Bom,Bom,,0,0,Ótimo,Não sei opinar,Não sei opinar,Não sei opinar,0,Bom,Bom,Não sei opinar,0,Ótimo,Não sei opinar,Bom,Bom,Bom,Bom,Bom,Bom,Bom,Pouco
De 56 a 65 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,ESALQ/acúcar e alcool,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,Não conheço,Não,Muito,Moderadamente,Moderadamente,Pouco,Seguro(a),"Não, continuo me sentindo seguro(a)",5.0,Carro,Bom,Ótimo,Bom,Bom,Bom,Regular,Péssimo,0,Não conheço,Ótimo,Ótimo,Ótimo,,0,0,Bom,,,Regular,0,Bom,,Bom,0,Ótimo,Bom,Bom,Regular,Ruim,Ótimo,Ruim,Bom,Ótimo,Nenhum
De 46 a 55 anos,Servidor Técnico-Administrativo,Feminino,,0,0,0,0,ESALQ/SVCEx,0,Apenas em dias úteis (de segunda a sexta),Sim,Em partes,Conheço e já participei,"Sim, no meu bairro/comunidade",Muito,Moderadamente,Muito,Pouco,Muito inseguro(a),"Sim, me sinto menos seguro(a) no Campus no período noturno",8.0,Carro,Bom,Bom,Bom,Bom,Regular,Regular,Regular,0,"Conheço, mas nunca utilizei",Regular,Regular,Não sei opinar,,0,0,Ótimo,Bom,Bom,Regular,0,Ruim,Regular,Bom,0,Ótimo,Ótimo,Ótimo,Bom,Bom,Bom,Ruim,Bom,Bom,Bastante
De 46 a 55 anos,Servidor Técnico-Administrativo,Masculino,,0,0,0,0,CeTI-LQ,0,Apenas em dias úteis (de segunda a sexta),Sim,Não,"Conheço, mas não participei",Não,Pouco,Moderadamente,Pouco,Pouco,Indiferente,"Sim, me sinto menos seguro(a) no Campus no período noturno",7.0,Carro,Regular,Péssimo,Péssimo,Ruim,Ruim,Não sei opinar,Péssimo,0,"Conheço, mas nunca utilizei",Ótimo,Ótimo,Regular,,0,0,Não sei opinar,Não sei opinar,Não sei opinar,Regular,0,Regular,Não sei opinar,Não sei opinar,0,Ótimo,Não sei opinar,Péssimo,Regular,Não sei opinar,Bom,Péssimo,Ruim,Bom,Nenhum
